id_paquete,cedis,estado,hora_recolectado,hora_creacion,hora_entregado,hora_falla
dfaf8b12-35a9-4e58-859b-f521ed1c8783,CUERNAVACA 001,SUCCESSFUL,2021-12-11T17:46:26.779000,2021-12-11T11:16:03.660000,2021-12-11T19:13:55.526000,
ceb26cd5-6f4d-4921-aebf-de2234dcab93,CUERNAVACA 001,SUCCESSFUL,2021-12-11T17:46:26.779000,2021-12-11T11:13:59.916000,2021-12-11T19:58:28.659000,
40ddede0-7bda-42d8-8e5e-10f8f942f232,CUERNAVACA 001,SUCCESSFUL,2021-12-11T17:46:26.779000,2021-12-11T11:21:49.355000,2021-12-11T18:20:13.992000,
3e5565aa-0b0b-4521-a452-b9101d849449,CUERNAVACA 001,SUCCESSFUL,2021-12-11T17:46:26.779000,2021-12-11T11:24:37.626000,2021-12-11T18:38:37.123000,
6104b63a-2a8c-4b53-9321-157fbc70fb32,CUERNAVACA 001,SUCCESSFUL,2021-12-11T17:46:26.779000,2021-12-11T10:40:58.025000,2021-12-11T20:32:07.038000,
ee573ffe-1784-4708-a13f-1f642122cd51,CUERNAVACA 001,SUCCESSFUL,2021-12-11T17:46:26.779000,2021-12-11T12:43:30.650000,2021-12-11T18:58:27.708000,
ec66d101-f40b-4fe1-ae70-be55006c9e5e,CUERNAVACA 001,SUCCESSFUL,2021-12-11T17:46:26.779000,2021-12-11T11:16:44.831000,2021-12-11T20:26:40.988000,
ee557e6a-c20a-4296-8b98-450980074a42,CUERNAVACA 001,SUCCESSFUL,2021-12-11T17:46:26.779000,2021-12-11T11:36:28.769000,2021-12-11T19:35:48.040000,
c17d3cfd-9dcb-4e05-be7e-76fbdf0efd4e,CUERNAVACA 001,FAILED,2021-12-11T17:46:26.779000,2021-12-11T11:30:52.946000,,2021-12-11T18:43:45.412000
bb48801c-08ab-47cf-8bb4-c4a3aa361d55,CUERNAVACA 001,SUCCESSFUL,2021-12-11T17:46:26.779000,2021-12-11T12:05:38.908000,2021-12-11T19:46:01.919000,
b3d023cc-95ab-4cdc-9fd4-7c94ed9eab05,CUERNAVACA 001,SUCCESSFUL,2021-12-11T17:46:26.779000,2021-12-11T10:14:01.982000,2021-12-11T20:09:28.015000,
1675ef1a-9206-4011-9e5f-939a7d3a2297,CUERNAVACA 001,SUCCESSFUL,2021-12-11T17:46:26.779000,2021-12-11T12:58:33.901000,2021-12-11T18:57:35.987000,
bfe9c8fa-66c4-461e-910f-448ef06f21c4,CUERNAVACA 001,SUCCESSFUL,2021-12-12T08:39:40.776000,2021-12-11T10:46:48.375000,2021-12-12T09:55:32.114000,
