id_paquete,id_monitoreo,arreglo_estados,complemento_estado,fecha_creado
e3868099-1cfc-494d-ae19-09cdf704f735,W2H08FJPELTFWWDK2W43,"[DELIVERED,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,ARRIVAL_SCAN,ARRIVAL_SCAN,CREATED,CREATED]","[ORIGIN_SCAN,ORIGIN_SCAN]",2021-12-10T11:34:47.972000
cfba004c-3576-4159-9980-70516e5d35c5,4YNRI0AKHTJCS4DRQFKN,"[DELIVERED,DELIVERED,DELIVERED,DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,ARRIVAL_SCAN,CREATED]",[ORIGIN_SCAN],2021-12-09T20:32:18.163000
11946177-b239-48cc-ba33-b135380c6843,HIOSNBGAJXV7TK9Y46MV,"[DELIVERED,DELIVERED,DELIVERED,DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,ARRIVAL_SCAN,ARRIVAL_SCAN,CREATED]","[ORIGIN_SCAN,ORIGIN_SCAN]",2021-12-09T17:56:20.002000
522f7b7f-f91b-49ac-879f-df902514d36d,U5WP205OCXAVNC4NOCND,"[DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,ARRIVAL_SCAN,CREATED]",[ORIGIN_SCAN],2021-12-11T11:52:38.419000
98aca3cd-3591-44c3-b494-11aacccb48f0,NA46URBZUSW77ZH1OBNB,"[DELIVERED,DELIVERED,DELIVERED,DELIVERED,DELIVERED,DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,ARRIVAL_SCAN,CREATED]",[ORIGIN_SCAN],2021-12-09T18:39:48.182000
3be88e84-879f-4bbc-9f3c-0e4a27a9e270,WMHIZY8ZHRJQYU8QSSEK,"[DELIVERED,DELIVERED,OUT_FOR_DELIVERY,ARRIVAL_SCAN,CREATED]",[ORIGIN_SCAN],2021-12-11T11:14:40.065000
912eb091-5714-48d3-b05e-234622f98211,TL5KP6JPNI7LDESWXYMD,"[DELIVERED,DELIVERED,DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,ARRIVAL_SCAN,ARRIVAL_SCAN,CREATED,CREATED]","[ORIGIN_SCAN,ORIGIN_SCAN]",2021-12-10T13:09:21.454000
2e61407d-4778-4a7a-9253-339a1cf9634e,GXB6FM3PISWUFLBJ9CQL,"[DELIVERED,DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,ARRIVAL_SCAN,ARRIVAL_SCAN,CREATED,CREATED]","[ORIGIN_SCAN,ORIGIN_SCAN]",2021-12-10T16:37:03.167000
32009e4d-1677-4115-afcb-e8ea7aeeee53,YJBB8TDXFZNVQS1EN4RD,"[DELIVERED,DELIVERED,DELIVERED,DELIVERED,DELIVERED,DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,ARRIVAL_SCAN,CREATED]",[ORIGIN_SCAN],2021-12-09T17:45:39.882000
17ac551b-3dfd-4ffe-940c-97d9872565fd,BRGL4EBDJ3J4D1DUTAFZ,"[DELIVERED,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,NEXT_IN_ROUTE,OUT_FOR_DELIVERY,OUT_FOR_DELIVERY,ARRIVAL_SCAN,ARRIVAL_SCAN,CREATED,CREATED]","[ORIGIN_SCAN,ORIGIN_SCAN]",2021-12-10T12:08:32.233000
